Event,Event_name,Event_order,Event_year,Date,Race_time_clock,Distance,Laps,Rang,Participant,UCI_Class_code,Year_of_birth,Age,Team,Time,Time_seconds,Time_min,Time_hours,Velocity,Gender_name,Gender,Class_number,Class,Discipline
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:02,46.1,3,2,6,WC2,1978,33,SPAIN,1:25:24,5124,85.4,1.423333333,32.38875878,Women,2,2,C2,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,6,7,MC5,1976,35,ITALY,1:51:53,6713,111.8833333,1.864722222,41.23938627,Men,1,5,C5,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,22,10,MC4,NA,NA,MEXICO,2:18:02,8282,138.0333333,2.300555556,33.42670852,Men,1,4,C4,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,9,13,MC4,1978,33,SPAIN,1:53:00,6780,113,1.883333333,40.83185841,Men,1,4,C4,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,15,14,MC2,1978,33,GHANA,2:06:05,7565,126.0833333,2.101388889,29.26635823,Men,1,2,C2,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,10:45,30.7,2,1,16,MT1,1971,40,CROATIA,1:11:06,4266,71.1,1.185,25.907173,Men,1,1,T1,T
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,15,25,MC5,1966,45,SPAIN,1:53:00,6780,113,1.883333333,40.83185841,Men,1,5,C5,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,10:45,30.7,2,3,29,MT1,1989,22,FRANCE,1:11:06,4266,71.1,1.185,25.907173,Men,1,1,T1,T
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,10:45,30.7,2,8,31,MT2,1984,27,COLOMBIA,1:02:28,3748,62.46666667,1.041111111,29.48772679,Men,1,2,T2,T
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,7,34,MC5,1980,31,FRANCE,1:51:53,6713,111.8833333,1.864722222,41.23938627,Men,1,5,C5,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,3,36,MC3,1984,27,ITALY,1:36:03,5763,96.05,1.600833333,38.41749089,Men,1,3,C3,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,12,41,MC2,1988,23,RUSSIA,1:47:46,6466,107.7666667,1.796111111,34.24064337,Men,1,2,C2,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,5,47,MC1,1982,29,USA,1:42:10,6130,102.1666667,1.702777778,36.11745514,Men,1,1,C1,C
